Sample name,Tool,Delta,fr_ba1,fr_ba2,fr_other,co_delta,co_ba1,co_ba2,ls_delta,ls_ba1,ls_ba2
sample88,lineagespot,0.1363636364,,,,,,,,,
sample89,lineagespot,0.09090909091,,,,,,,,,
sample90,lineagespot,0.09090909091,,,,,,,,,
sample91,lineagespot,0.1818181818,,,,,,,,,
sample92,lineagespot,0.1818181818,,,,,,,,,
sample93,lineagespot,0.1363636364,,,,,,,,,
sample94,lineagespot,0.1363636364,,,,,,,,,
sample95,lineagespot,0.04545454545,,,,,,,,,
sample96,lineagespot,0.1363636364,,,,,,,,,
sample97,lineagespot,0.09090909091,,,,,,,,,
sample98,lineagespot,0,,,,,,,,,
sample99,lineagespot,0.3181818182,,,,,,,,,
sample100,lineagespot,0.09090909091,,,,,,,,,
